2001 Space odyssey theme ,https://www.youtube.com/watch?v=QwxYiVXYyVs,38,"Velkommen til Raketten, spænd jer fast og lav noget kærlighed",
Kald det kærlighed - Lars lilholt,https://www.youtube.com/watch?v=3DLUVPZqV58,13,"Houston, We have Love off",
Cha Cha Cha - Käärija,https://www.youtube.com/watch?v=l6rS8Dv5g-8,73,Sving hofterne nørder,
Danser - GMG,https://www.youtube.com/watch?v=PlUmSuoDbOE,0,Hvad fanden laver du? Jeg danser?,
a dj saved my life,https://www.youtube.com/watch?v=GtfZbj4J71A,10,Første hjælp til knuste hjerter,
move your feet - junior senior,https://www.youtube.com/watch?v=SPlQpGeTbIE,8,"Hey Ginger, hvad spiser jeg havregryn fra",
better off alone - Alice deejay,https://www.youtube.com/watch?v=Lgs9QUtWc3M,3,Denne her går ud til singlerne,
Bare La hende Drik - GMG,https://www.youtube.com/watch?v=Ob40PC8mmbY,0,Hun har fandme stjålet Arne!! Fang hende,
Du er så smuk med havet som baggrund - Peter Belli,https://www.youtube.com/watch?v=IDFm68Rc4_k,7,Ulven har sunget sin sidste sang,
Stik mig en øl ,https://www.youtube.com/watch?v=cufNBUNlYyY,0,Du burde jo være færdig med en bajer nu,
Mumble - TV Noise,https://www.youtube.com/watch?v=cNIjSzY1Tp4,8,Øhhhh øhh skål??,
Frog on the floor,https://www.youtube.com/watch?v=9j_TuMSw7H4,0,Frømænder og frøkvinder ik,
Shum - Go-A,https://www.youtube.com/watch?v=CHBnW5KKhmY,5,Jeg kan sku godt mærke det lidt,
Astronaut in the Ocean,https://www.youtube.com/watch?v=MEg-oqI9qmw,13,SHADOW WIZARD MONEY GANG,
Help Im A Fish - Creamy,https://www.youtube.com/watch?v=RqqOVo6q5J0,3,"Fuck det sejler, men hey, godt selskab",
Vil du med ud... - Suspekt,https://www.youtube.com/watch?v=5lKO908JFAQ,9,Nå Pishegnet kalder,
Nabokrig,https://soundcloud.com/emil-fredborg-796954532/skygg-peckerhead-nabokrig,0,Hey må jeg låne en kop sukker. Nej,
Jeg tager imod - Thomas Helmig,https://www.youtube.com/watch?v=zgpNAWKWKUU,0,Så i Thomas sidste år?? Ogs mig ,
Kender ik imorgen - Gilli,https://www.youtube.com/watch?v=ovtxmoVthWM,0,"Hey hey hey du der, du skal drikke ud",
Miami - Ravi Kuma Yo Johnny ,https://www.youtube.com/watch?v=LCyZu2hU2x0,63,Miami er er fucking sygt sted. Har du været der? Næh.,
Slow Jamz - Kanye ,https://www.youtube.com/watch?v=raWSH1KrgFI,27,Skål for øhhh Twitter ,
Smugryger - Odbjerg,https://www.youtube.com/watch?v=P24tI2HjzwY,0,"Pssst, har du nogle gøgs?",
StikNarkoman,https://soundcloud.com/jacob-toft-petersen/stiknarkoman,0,Savner Vesterbro i sin storhedstid,
Kom af sig selv - Arti,https://www.youtube.com/watch?v=xExTkrnHPTU,6,Jeg havde ikke engang lyst til at drik meeen,
Zididada day - Zididada,https://www.youtube.com/watch?v=1qety-XuYwI,0,"Jeg foreslår at vi udskifter Store Bede dag, med Zididada Day",
Alane - Wes ,https://www.youtube.com/watch?v=3gl5OEZ8j_o,14,Flæk pik bro ses,
Gonzo ,https://www.youtube.com/watch?v=q4_HDlLacts,10,Har du checket dine dms?,
Cupid - Fifty Fifty,https://www.youtube.com/watch?v=Qc7_zRjH808,10,Zoomer sang,
