Jesus og Josefine - Martin brygmann & Julie Berthelsen ,https://www.youtube.com/watch?v=Qm83-qTfxV8,10.0,,
Trashin the Camp - Phil Collins,https://www.youtube.com/watch?v=I6TQZMA5XV4,50.0,,
Braceface Intro Danish/Dansk,https://www.youtube.com/watch?v=ZsUgQlM5Hn8,0.0,,
Prutte-bøvs sangen ,https://www.youtube.com/watch?v=BXSrk8OjcyI,38.0,,
Min egen Maria - Chanlex,https://www.youtube.com/watch?v=NObY2YeJ7Oc,43.0,,
Vi gir den op - B-boys,https://www.youtube.com/watch?v=ERJQZZ2Osrw,76.0,,
Kickflipper - Razz,https://www.youtube.com/watch?v=S1Tgr5xMqz4,50.0,,
Martin og Ketil - Martin og Ketil,https://www.youtube.com/watch?v=gV8HejTfPAY,0.0,,
Hola Chica - Sandra Monique,https://www.youtube.com/watch?v=vjt8dUJjUik,3.0,,
Menneskesøn - Stig Rossen,https://www.youtube.com/watch?v=rtB-LQY5EVY,0.0,,
Vi er på vej til dig - Bamse og Kylling,https://www.youtube.com/watch?v=7-vfYIkQ72I,0.0,,
Hodja fra Pjort,https://www.youtube.com/watch?v=YE5ZEZn-aSA,15.0,,
Rutsj! ,https://www.youtube.com/watch?v=npKxyOu-APA,0.0,,
Vi er nummer et! - Robby rådden ,https://www.youtube.com/watch?v=FJPotonU_hI,0.0,,
Havet er skønt - Sebastian ,https://www.youtube.com/watch?v=vMfObaxYBV8,0.0,,
Vi er ikke rigtig voksne - Bøllebob,https://www.youtube.com/watch?v=4kt_PNlX6vw,10.0,,
Gæt en lort,https://www.youtube.com/watch?v=Bo8ZVOeEKCs,0.0,,
Nanna - Buster,https://www.youtube.com/watch?v=CTyB89fOqhE,15.0,,
Yu-Gi-OH Dansk Intro - Yugi,https://www.youtube.com/watch?v=gcD8PVWhvQY,0.0,,
Bom tjikka bom - Kaj & Andrea ,https://www.youtube.com/watch?v=ftzn_aOVrLM,0.0,,
Teen Titans dansk Intro,https://www.youtube.com/watch?v=0P0TWueNjrQ,0.0,,
Den jeg ikke vil have - Jul i Valhal,https://www.youtube.com/watch?v=kVFPkUDYPAM,33.0,,
Mickeys Hus (House of Mouse) Intro Dansk/danish,https://www.youtube.com/watch?v=mKG0mTaSfmo,0.0,,
Gi mig slik - Pyrus,https://www.youtube.com/watch?v=ijPo8-zqoqQ,113.0,,
Circle of life (Trap remix) - Unknown,https://www.youtube.com/watch?v=hwwg8st_5W4,0.0,,
Dansk Peter Plys Intro,https://www.youtube.com/watch?v=qGC7KyIv1P4,0.0,,
Morten Skikdpadde,https://www.youtube.com/watch?v=GcFF5k5F9zQ,0.0,,
Pigen er min - Cool Kids,https://www.youtube.com/watch?v=0ZQ5UzVhg7w,6.0,,
En ny verden - Aladdin og Jasmine ,https://www.youtube.com/watch?v=QNLIlauJ6_4,20.0,,
hvad med dig selv? - Terkel,https://www.youtube.com/watch?v=ZVXWYqIYdEc,13.0,,
