Sang valgt,Sang og kunstner,link,starttidspunkt (i sek),citat / shoutout,citat-sang connection? (x=ja),kommentar,Optaget,,,0,
X,10 år,https://www.youtube.com/watch?v=d-w0Jh7sLNw,28,skud ud til skema C,,,X,,6,2810,47
X,Sleeping my day away - DAD,https://www.youtube.com/watch?v=ASfVIFUw20Y,45,,,,,,71,2820,48
X,i walk alone - tony brown,https://www.youtube.com/watch?v=0o0PpQCJu_Y,69,,,,,,37,2920,49
X,hvor er du bro,https://www.youtube.com/watch?v=TBElYMDycWk,0,Skud ud til at miste sin ven i byen,,,X,,82,3081,50
X,bitch lasagna,https://www.youtube.com/watch?v=6Dh-RL__uN4,12,Skud ud til italiensk mad,,,X,,43,3095,51
X,en sang,https://www.youtube.com/watch?v=mQGyIy-nRUk,49,Uh Uh Weeeee!!!!!!!!!!!!!!!!!!!!!!!!!1,,,"
",,55,3317,52
X,the ketchup song,https://www.youtube.com/watch?v=AMT698ArSfQ,93,,,,,,91,3414,53
X,Bjørnen bjørn er en bjørn,https://www.youtube.com/watch?v=5W5KH21oEI8,0,,,,,,72,3472,54
X,himmelhunden,https://youtu.be/OAXNS4bDoIE,8,Skud ud til hunde i himlen,,,,,,3500,55
X,Det skøre hus - Jimbo,https://www.youtube.com/watch?v=qEtE0OPrpFA&t=,0,,,,,,51,3526,56
X,den bedste danser - marvelous mosel,https://www.youtube.com/watch?v=yXTs1_wUonA,42,,,,,,21,3986,57
X,california love - 2pac,https://www.youtube.com/watch?v=5wBTdfAkqGU,75,"Skud ud til letbanen, kun 5 års vejarbejde",,,,,28,4007,58
X,its tough to be a god,https://www.youtube.com/watch?v=FSXijk37oNs,70,Skud ud til bumserne og alt deres hårde arbejde,,,,,117,4015,59
X,hydra 2016,https://www.youtube.com/watch?v=rFZh6u6aGFA,12,Skud ud til hydraer,,,,,57,4064,60
X,dilemma,https://www.youtube.com/watch?v=8WYHDfJDPDc,44,,,,,,110,4119,61
X,better now - post malone,https://www.youtube.com/watch?v=UYwF-jdcVjY,78,,,,,,97,4139,62
X,lampeskærm,https://www.youtube.com/watch?v=LJHoa-Yq6iM,90,"møhvæø, det var hvad jeg forstod",,,,,111,4169,63
X,Ocean - Mike Perry,https://www.youtube.com/watch?v=5JxgDJvqGmM,55,,,,,,112,4383,64
X,Do I wanna know? - Arctic monkeys,https://www.youtube.com/watch?v=bpOSxM0rNPM,73,,,,,,105,4695,65
X,superstition,https://www.youtube.com/watch?v=0CFuCYNx-1g,18,"Skud ud til ikke at ""kunne se det""",x,,,,33,4802,66
X,techno papvin - snuffi,https://www.youtube.com/watch?v=UZq431ASn8s,38,,,,,,18,4970,67
X,yee (trap remix),https://www.youtube.com/watch?v=XVn_iJ1kMrk,7,,,,,,50,5022,68
X,Come down - Anderson pack,https://www.youtube.com/watch?v=-OqrcUvrbRY,11,Game time started,,,,,65,5089,69
X,Morgenfest,https://www.youtube.com/watch?v=89DH1tC3GK4,39,,,,,,90,5121,70
X,bamse og kylling julesang - tramper torben,https://www.youtube.com/watch?v=7-vfYIkQ72I,2,,,,,,40,5367,71
X,Aftendak,https://www.youtube.com/watch?v=mS_N8gRi1t0,10,,,,,,93,5492,72
X,trampertøsen - jesu brødre,https://www.youtube.com/watch?v=DdaD2OZmsDg,3,"You are tearing me apart, Paagaard",,,,,120,5567,73
X,fresh prince of 01005b,https://soundcloud.com/denaegtepaagaard/fresh-prince-of-01005b,10,det her er approved by munken,,,,,10,5814,74
X,niggas in paris - jay z,https://www.youtube.com/watch?v=VS9W8OUqMLY,0,,,,,,20,5828,75
X,signs - snoop dogg,https://youtu.be/JfDlxL9PKV8,0,,,,,,29,5964,76
X,ildebrand I byen,https://www.youtube.com/watch?v=TdNmN0SVX88,64,Noget med Natasja,,,,,104,6094,77
X,v for sejr - adhd,https://www.youtube.com/watch?v=0NTDqqnH9Bk,13,,,,,,17,6271,78
X,Blank spaces - Taylor,https://www.youtube.com/watch?v=e-ORhEE9VVg,28,,,,,,76,6279,79
X,i gotta feeling,https://www.youtube.com/watch?v=uSD4vsh1zDA,92,Everybody is good,,,,,114,6557,80
X,treasure - bruno mars,https://www.youtube.com/watch?v=nPvuNsRccVw,5,Section Ratio General,,,,,81,6569,81
X,Hey Ya! - outkast,https://www.youtube.com/watch?v=Fi8rsCncwF8,2,skud ud til at skyde ud til ting,,,,,8,6603,82
X,Bad blood - Taylor,https://www.youtube.com/watch?v=QcIy9NiNbmo,71,,,,,,75,6610,83
X,All i ever wanted - Basshunter,https://www.youtube.com/watch?v=P3CxhBIrBho,21,,,,,,77,6679,84
X,antikommericiel masseappel - marvelous mosell,https://www.youtube.com/watch?v=TgZOpTk6Z9M,43,,,,,,22,6872,85
X,dumme eventyr,https://www.youtube.com/watch?v=CEQgmDRF310,2,Skud ud til dumme eventyr i en brandert,duck tales,,,,108,6915,86
X,99 Luftballons - NENA,https://www.youtube.com/watch?v=7aLiT3wXko0,0,,,,,,73,7006,87
X,Uprising - Muse,https://www.youtube.com/watch?v=w8KQmps-Sog,0,,,,,,62,7251,88
X,runaway - galantis,https://www.youtube.com/watch?v=5XR7naZ_zZA,70,,,,,,35,7338,89
X,hips dont lie - shakira,https://www.youtube.com/watch?v=DUT5rEU6pqM,57,,,,,,101,7372,90
X,rude boy - rihanna,https://www.youtube.com/watch?v=e82VE8UtW8A,18,,,,,,19,7635,91
X,crab rave - noisestorm,https://www.youtube.com/watch?v=LDU_Txk06tM,55,,x,,,65,2,7720,93
X,rejsesangen,https://www.youtube.com/watch?v=VneKss-9Wg0,12,Skud ud til internationale studerende,,Okay stopper mig selv nu,,,58,7724,94
X,Doctor Jones - Aqua,https://www.youtube.com/watch?v=-1jPUB7gRyg,27,,,,,,79,7847,95
X,California gurlz - Katy Perry,https://www.youtube.com/watch?v=CTVJTt-Gfx8,37,,,,,,78,7897,96
X,ik lavet penge,https://www.youtube.com/watch?v=s1VvkxpgwMk,0,KIDDDDDDDD,,,,,60,8032,97
X,crazy frog,https://www.youtube.com/watch?v=k85mRPqvMbE,60,,,,,,116,8242,98
X,sicko mode (kahoot remix),https://www.youtube.com/watch?v=_Gx2YH4ysYs,23,du kan ikke bare v-space dig ud af alle dine problemer,,,,,9,8425,99
X,stein bagger,https://www.youtube.com/watch?v=pa0ASAw01iw,11,netcompany,,,,,103,8462,100
X,la la la - jesu brødre,https://www.youtube.com/watch?v=kwqXzSUDzfY,110,,,,,,121,8469,101
X,Shadowtask - Pylot,https://www.youtube.com/watch?v=UT6d6RC2gS8,71,,,,,,113,8493,102
X,infinity,https://www.youtube.com/watch?v=jzy2dgEUOhY,10,Skud ud til det ALLERSIDSTE decimal i pi... Hvad end det så er,x,,,,42,8553,103
X,Gourmet Race - Kirby,https://www.youtube.com/watch?v=3w4B16TRsPM,0,,,,,,47,8601,104
X,I took a pill in Ibiza - Mike Posner,https://www.youtube.com/watch?v=DjWcwMsm-3M,47,,,,,,69,8616,105
X,Min Villa (Luigis Mansion 2016) - Random nordmænd,https://www.youtube.com/watch?v=LGtgQKPRLYI,6,,,banger,,,48,8652,106
X,vamos a la playa,https://www.youtube.com/watch?v=X-77txuiVXs,80,,,,,,96,8730,107
X,luftens helte,https://www.youtube.com/watch?v=ZfJQ4BQ37Ls,0,Skud ud til at bonge,,,,,107,8772,108
X,lost - frank ocean,https://www.youtube.com/watch?v=fB709G9BWQc,56,,,,,,85,8813,109
X,Dancing Queen - Abba,https://www.youtube.com/watch?v=xFrGuyw1V8s,0,,,,,,80,8848,110
